"subject","peer_alcohol_use","alcohol_use_14","alcohol_use_15","alcohol_use_16"
"1","high",1.73205077648163,2,2
"2","low",0,0,1
"3","low",1,2,3.31662487983704
"4","high",0,2,1.73205077648163
"5","low",0,0,0
"6","high",3,3,3.16227769851685
"7","high",1.73205077648163,2.44948983192444,1
"8","low",0,0,0
"9","low",0,1,3.46410155296326
"10","high",1,1,1
"11","low",0,0,3.16227769851685
"12","high",1,0,1.73205077648163
"13","low",0,0,2
"14","high",2.82842707633972,3.60555124282837,2.82842707633972
"15","high",1.73205077648163,2.2360680103302,2.44948983192444
"16","high",1,1.41421353816986,1.41421353816986
"17","low",0,1,0
"18","high",2,1.73205077648163,1
"19","low",0,0,0
"20","high",3.31662487983704,3.60555124282837,1
"21","high",1,1.73205077648163,1.73205077648163
"22","high",2.82842707633972,2.82842707633972,1
"23","low",1,1,1.73205077648163
"24","low",0,1,0
"25","high",3,1,2.64575123786926
"26","high",0,1,1.41421353816986
"27","high",3,0,1.73205077648163
"28","low",0,0,0
"29","low",0,0,1
"30","high",1,2,1.73205077648163
"31","high",1.73205077648163,3.46410155296326,2.82842707633972
"32","low",1.73205077648163,1.41421353816986,1
"33","low",0,1,1.41421353816986
"34","low",0,1,1
"35","high",1,1,0
"36","high",1,1,2
"37","high",1,2.82842707633972,3.16227769851685
"38","high",0,1.73205077648163,2
"39","low",0,0,0
"40","high",0,0,0
"41","high",1.41421353816986,0,2
"42","low",0,0,0
"43","low",0,0,0
"44","low",0,1.41421353816986,3
"45","high",2.2360680103302,2.2360680103302,3
"46","low",0,0,1.41421353816986
"47","low",0,1,0
"48","low",0,0,0
"49","low",0,0,0
"50","high",0,0,0
"51","low",0,0,0
"52","low",0,1,0
"53","low",0,0,0
"54","low",0,0,1
"55","high",0,0,0
"56","high",0,1.41421353816986,2.64575123786926
"57","low",0,0,0
"58","low",1,1.41421353816986,2.44948983192444
"59","low",0,0,2.64575123786926
"60","low",0,1,1.41421353816986
"61","high",2,2.2360680103302,2
"62","low",0,0,0
"63","low",0,0,0
"64","low",0,2,2.2360680103302
"65","high",0,1,1.41421353816986
"66","high",1.41421353816986,3.46410155296326,3
"67","low",1,0,0
"68","low",0,1,0
"69","low",0,0,0
"70","high",2,1,0
"71","low",0,0,0
"72","low",0,0,0
"73","low",0,0,0
"74","high",0,1.73205077648163,2.2360680103302
"75","high",0,0,0
"76","low",0,0,0
"77","low",0,1.41421353816986,2.82842707633972
"78","low",0,0,0
"79","low",1,2.2360680103302,1.41421353816986
"80","low",1,1,1.73205077648163
"81","high",0,0,0
"82","high",0,1.41421353816986,1
